 N E X T F L O W  ~  version 24.04.2
Launching `https://github.com/nf-core/rnaseq` [focused_curie] DSL2 - revision: 3.14.0
------------------------------------------------------
executor >  local (12)
[6a/1f2c34] process > NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv) [100%] 1 of 1 ✔
[01/abcdef] process > NFCORE_RNASEQ:RNASEQ:FASTQC_FASTQ:FASTQC (sample1) [100%] 1 of 6 ✔
[02/abcdef] process > NFCORE_RNASEQ:RNASEQ:FASTQC_FASTQ:FASTQC (sample2) [100%] 2 of 6 ✔
[03/abcdef] process > NFCORE_RNASEQ:RNASEQ:FASTQC_FASTQ:FASTQC (sample3) [100%] 3 of 6 ✔
[04/abcdef] process > NFCORE_RNASEQ:RNASEQ:FASTQC_FASTQ:FASTQC (sample4) [100%] 4 of 6 ✔
[05/abcdef] process > NFCORE_RNASEQ:RNASEQ:FASTQC_FASTQ:FASTQC (sample5) [100%] 5 of 6 ✔
[06/abcdef] process > NFCORE_RNASEQ:RNASEQ:FASTQC_FASTQ:FASTQC (sample6) [100%] 6 of 6 ✔
[01/1234ab] process > NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (sample1) [100%] 1 of 6 ✔
[02/1234ab] process > NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (sample2) [100%] 2 of 6 ✔
[03/1234ab] process > NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (sample3) [100%] 3 of 6 ✔
[04/1234ab] process > NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (sample4) [100%] 4 of 6 ✔
[05/1234ab] process > NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (sample5) [100%] 5 of 6 ✔
[06/1234ab] process > NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (sample6) [100%] 6 of 6 ✔
[01/998877] process > NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (sample1) [100%] 1 of 6 ✔
[02/998877] process > NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (sample2) [100%] 2 of 6 ✔
[03/998877] process > NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (sample3) [100%] 3 of 6 ✔
[04/998877] process > NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (sample4) [100%] 4 of 6 ✔
[05/998877] process > NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (sample5) [100%] 5 of 6 ✔
[06/998877] process > NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (sample6) [100%] 6 of 6 ✔
Jun-11 01:100:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-12 02:111:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-13 03:122:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-14 04:133:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-15 05:144:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-16 06:155:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-17 07:106:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-18 08:117:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-19 09:128:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-11 01:130:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-12 02:141:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-13 03:152:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-14 04:103:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-15 05:114:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-16 06:125:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-17 07:136:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-18 08:147:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-19 09:158:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-11 01:100:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-12 02:111:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-13 03:122:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-14 04:133:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-15 05:144:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-16 06:155:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-17 07:106:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-18 08:117:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-19 09:128:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-11 01:130:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-12 02:141:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-13 03:152:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-14 04:103:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-15 05:114:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-16 06:125:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-17 07:136:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-18 08:147:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-19 09:158:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-11 01:100:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-12 02:111:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-13 03:122:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-14 04:133:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-15 05:144:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-16 06:155:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-17 07:106:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-18 08:117:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-19 09:128:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-11 01:130:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
Jun-12 02:141:24 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample5)
Jun-13 03:152:25 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample6)
Jun-14 04:103:20 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample1)
Jun-15 05:114:21 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample2)
Jun-16 06:125:22 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample3)
Jun-17 07:136:23 INFO  n.processor.TaskPollingMonitor - Task completed > NFCORE_RNASEQ:RNASEQ:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (sample4)
