Geneid	Chr	Start	End	Strand	Length	sample1.bam
ENSG00000000000	chr1	1000	1250	+	1200	500
ENSG00000000001	chr1	1500	1750	+	1200	507
ENSG00000000002	chr1	2000	2250	+	1200	514
ENSG00000000003	chr1	2500	2750	+	1200	521
ENSG00000000004	chr1	3000	3250	+	1200	528
ENSG00000000005	chr1	3500	3750	+	1200	535
ENSG00000000006	chr1	4000	4250	+	1200	542
ENSG00000000007	chr1	4500	4750	+	1200	549
ENSG00000000008	chr1	5000	5250	+	1200	556
ENSG00000000009	chr1	5500	5750	+	1200	563
ENSG00000000010	chr1	6000	6250	+	1200	570
ENSG00000000011	chr1	6500	6750	+	1200	577
ENSG00000000012	chr1	7000	7250	+	1200	584
ENSG00000000013	chr1	7500	7750	+	1200	591
ENSG00000000014	chr1	8000	8250	+	1200	598
ENSG00000000015	chr1	8500	8750	+	1200	605
ENSG00000000016	chr1	9000	9250	+	1200	612
ENSG00000000017	chr1	9500	9750	+	1200	619
ENSG00000000018	chr1	10000	10250	+	1200	626
ENSG00000000019	chr1	10500	10750	+	1200	633
ENSG00000000020	chr1	11000	11250	+	1200	640
ENSG00000000021	chr1	11500	11750	+	1200	647
ENSG00000000022	chr1	12000	12250	+	1200	654
ENSG00000000023	chr1	12500	12750	+	1200	661
ENSG00000000024	chr1	13000	13250	+	1200	668
ENSG00000000025	chr1	13500	13750	+	1200	675
ENSG00000000026	chr1	14000	14250	+	1200	682
ENSG00000000027	chr1	14500	14750	+	1200	689
ENSG00000000028	chr1	15000	15250	+	1200	696
ENSG00000000029	chr1	15500	15750	+	1200	703
ENSG00000000030	chr1	16000	16250	+	1200	710
ENSG00000000031	chr1	16500	16750	+	1200	717
ENSG00000000032	chr1	17000	17250	+	1200	724
ENSG00000000033	chr1	17500	17750	+	1200	731
ENSG00000000034	chr1	18000	18250	+	1200	738
ENSG00000000035	chr1	18500	18750	+	1200	745
ENSG00000000036	chr1	19000	19250	+	1200	752
ENSG00000000037	chr1	19500	19750	+	1200	759
ENSG00000000038	chr1	20000	20250	+	1200	766
ENSG00000000039	chr1	20500	20750	+	1200	773
ENSG00000000040	chr1	21000	21250	+	1200	780
ENSG00000000041	chr1	21500	21750	+	1200	787
ENSG00000000042	chr1	22000	22250	+	1200	794
ENSG00000000043	chr1	22500	22750	+	1200	801
ENSG00000000044	chr1	23000	23250	+	1200	808
ENSG00000000045	chr1	23500	23750	+	1200	815
ENSG00000000046	chr1	24000	24250	+	1200	822
ENSG00000000047	chr1	24500	24750	+	1200	829
ENSG00000000048	chr1	25000	25250	+	1200	836
ENSG00000000049	chr1	25500	25750	+	1200	843
